zone,town/village,area_type,agriculture,"services(transport,hospital,water supply,education,market)"
Laltapper-Majri Grant,yes,residential,yes,1
Laltapper-Majri Grant,yes,residential,yes,5
Laltapper-Majri Grant,yes,residential,yes,4
Laltapper-Majri Grant,yes,residential,yes,3
Laltapper-Majri Grant,yes,residential,yes,2
Laltapper-Majri Grant,yes,residential,yes,1
Laltapper-Majri Grant,yes,residential,yes,0
Laltapper-Majri Grant,yes,residential,no,1
Laltapper-Majri Grant,yes,residential,no,5
Laltapper-Majri Grant,yes,residential,no,4
Laltapper-Majri Grant,yes,residential,no,3
Laltapper-Majri Grant,yes,residential,no,2
Laltapper-Majri Grant,yes,residential,no,1
Laltapper-Majri Grant,yes,residential,no,0
Laltapper-Majri Grant,yes,commercial,yes,1
Laltapper-Majri Grant,yes,commercial,yes,5
Laltapper-Majri Grant,yes,commercial,yes,4
Laltapper-Majri Grant,yes,commercial,yes,3
Laltapper-Majri Grant,yes,commercial,yes,2
Laltapper-Majri Grant,yes,commercial,yes,1
Laltapper-Majri Grant,yes,commercial,yes,0
Laltapper-Majri Grant,yes,commercial,no,1
Laltapper-Majri Grant,yes,commercial,no,5
Laltapper-Majri Grant,yes,commercial,no,4
Laltapper-Majri Grant,yes,commercial,no,3
Laltapper-Majri Grant,yes,commercial,no,2
Laltapper-Majri Grant,yes,commercial,no,1
Laltapper-Majri Grant,yes,commercial,no,0
Laltapper-Majri Grant,no,residential,yes,1
Laltapper-Majri Grant,no,residential,yes,5
Laltapper-Majri Grant,no,residential,yes,4
Laltapper-Majri Grant,no,residential,yes,3
Laltapper-Majri Grant,no,residential,yes,2
Laltapper-Majri Grant,no,residential,yes,1
Laltapper-Majri Grant,no,residential,yes,0
Laltapper-Majri Grant,no,residential,no,1
Laltapper-Majri Grant,no,residential,no,5
Laltapper-Majri Grant,no,residential,no,4
Laltapper-Majri Grant,no,residential,no,3
Laltapper-Majri Grant,no,residential,no,2
Laltapper-Majri Grant,no,residential,no,1
Laltapper-Majri Grant,no,residential,no,0
Laltapper-Majri Grant,no,commercial,yes,1
Laltapper-Majri Grant,no,commercial,yes,5
Laltapper-Majri Grant,no,commercial,yes,4
Laltapper-Majri Grant,no,commercial,yes,3
Laltapper-Majri Grant,no,commercial,yes,2
Laltapper-Majri Grant,no,commercial,yes,1
Laltapper-Majri Grant,no,commercial,yes,0
Laltapper-Majri Grant,no,commercial,no,1
Laltapper-Majri Grant,no,commercial,no,5
Laltapper-Majri Grant,no,commercial,no,4
Laltapper-Majri Grant,no,commercial,no,3
Laltapper-Majri Grant,no,commercial,no,2
Laltapper-Majri Grant,no,commercial,no,1
Laltapper-Majri Grant,no,commercial,no,0
Ranipokhri,yes,residential,yes,1
Ranipokhri,yes,residential,yes,5
Ranipokhri,yes,residential,yes,4
Ranipokhri,yes,residential,yes,3
Ranipokhri,yes,residential,yes,2
Ranipokhri,yes,residential,yes,1
Ranipokhri,yes,residential,yes,0
Ranipokhri,yes,residential,no,1
Ranipokhri,yes,residential,no,5
Ranipokhri,yes,residential,no,4
Ranipokhri,yes,residential,no,3
Ranipokhri,yes,residential,no,2
Ranipokhri,yes,residential,no,1
Ranipokhri,yes,residential,no,0
Ranipokhri,yes,commercial,yes,1
Ranipokhri,yes,commercial,yes,5
Ranipokhri,yes,commercial,yes,4
Ranipokhri,yes,commercial,yes,3
Ranipokhri,yes,commercial,yes,2
Ranipokhri,yes,commercial,yes,1
Ranipokhri,yes,commercial,yes,0
Ranipokhri,yes,commercial,no,1
Ranipokhri,yes,commercial,no,5
Ranipokhri,yes,commercial,no,4
Ranipokhri,yes,commercial,no,3
Ranipokhri,yes,commercial,no,2
Ranipokhri,yes,commercial,no,1
Ranipokhri,yes,commercial,no,0
Ranipokhri,no,residential,yes,1
Ranipokhri,no,residential,yes,5
Ranipokhri,no,residential,yes,4
Ranipokhri,no,residential,yes,3
Ranipokhri,no,residential,yes,2
Ranipokhri,no,residential,yes,1
Ranipokhri,no,residential,yes,0
Ranipokhri,no,residential,no,1
Ranipokhri,no,residential,no,5
Ranipokhri,no,residential,no,4
Ranipokhri,no,residential,no,3
Ranipokhri,no,residential,no,2
Ranipokhri,no,residential,no,1
Ranipokhri,no,residential,no,0
Ranipokhri,no,commercial,yes,1
Ranipokhri,no,commercial,yes,5
Ranipokhri,no,commercial,yes,4
Ranipokhri,no,commercial,yes,3
Ranipokhri,no,commercial,yes,2
Ranipokhri,no,commercial,yes,1
Ranipokhri,no,commercial,yes,0
Ranipokhri,no,commercial,no,1
Ranipokhri,no,commercial,no,5
Ranipokhri,no,commercial,no,4
Ranipokhri,no,commercial,no,3
Ranipokhri,no,commercial,no,2
Ranipokhri,no,commercial,no,1
Ranipokhri,no,commercial,no,0
Sahaspur,yes,residential,yes,1
Sahaspur,yes,residential,yes,5
Sahaspur,yes,residential,yes,4
Sahaspur,yes,residential,yes,3
Sahaspur,yes,residential,yes,2
Sahaspur,yes,residential,yes,1
Sahaspur,yes,residential,yes,0
Sahaspur,yes,residential,no,1
Sahaspur,yes,residential,no,5
Sahaspur,yes,residential,no,4
Sahaspur,yes,residential,no,3
Sahaspur,yes,residential,no,2
Sahaspur,yes,residential,no,1
Sahaspur,yes,residential,no,0
Sahaspur,yes,commercial,yes,1
Sahaspur,yes,commercial,yes,5
Sahaspur,yes,commercial,yes,4
Sahaspur,yes,commercial,yes,3
Sahaspur,yes,commercial,yes,2
Sahaspur,yes,commercial,yes,1
Sahaspur,yes,commercial,yes,0
Sahaspur,yes,commercial,no,1
Sahaspur,yes,commercial,no,5
Sahaspur,yes,commercial,no,4
Sahaspur,yes,commercial,no,3
Sahaspur,yes,commercial,no,2
Sahaspur,yes,commercial,no,1
Sahaspur,yes,commercial,no,0
Sahaspur,no,residential,yes,1
Sahaspur,no,residential,yes,5
Sahaspur,no,residential,yes,4
Sahaspur,no,residential,yes,3
Sahaspur,no,residential,yes,2
Sahaspur,no,residential,yes,1
Sahaspur,no,residential,yes,0
Sahaspur,no,residential,no,1
Sahaspur,no,residential,no,5
Sahaspur,no,residential,no,4
Sahaspur,no,residential,no,3
Sahaspur,no,residential,no,2
Sahaspur,no,residential,no,1
Sahaspur,no,residential,no,0
Sahaspur,no,commercial,yes,1
Sahaspur,no,commercial,yes,5
Sahaspur,no,commercial,yes,4
Sahaspur,no,commercial,yes,3
Sahaspur,no,commercial,yes,2
Sahaspur,no,commercial,yes,1
Sahaspur,no,commercial,yes,0
Sahaspur,no,commercial,no,1
Sahaspur,no,commercial,no,5
Sahaspur,no,commercial,no,4
Sahaspur,no,commercial,no,3
Sahaspur,no,commercial,no,2
Sahaspur,no,commercial,no,1
Sahaspur,no,commercial,no,0
Selaqui,yes,residential,yes,1
Selaqui,yes,residential,yes,5
Selaqui,yes,residential,yes,4
Selaqui,yes,residential,yes,3
Selaqui,yes,residential,yes,2
Selaqui,yes,residential,yes,1
Selaqui,yes,residential,yes,0
Selaqui,yes,residential,no,1
Selaqui,yes,residential,no,5
Selaqui,yes,residential,no,4
Selaqui,yes,residential,no,3
Selaqui,yes,residential,no,2
Selaqui,yes,residential,no,1
Selaqui,yes,residential,no,0
Selaqui,yes,commercial,yes,1
Selaqui,yes,commercial,yes,5
Selaqui,yes,commercial,yes,4
Selaqui,yes,commercial,yes,3
Selaqui,yes,commercial,yes,2
Selaqui,yes,commercial,yes,1
Selaqui,yes,commercial,yes,0
Selaqui,yes,commercial,no,1
Selaqui,yes,commercial,no,5
Selaqui,yes,commercial,no,4
Selaqui,yes,commercial,no,3
Selaqui,yes,commercial,no,2
Selaqui,yes,commercial,no,1
Selaqui,yes,commercial,no,0
Selaqui,no,residential,yes,1
Selaqui,no,residential,yes,5
Selaqui,no,residential,yes,4
Selaqui,no,residential,yes,3
Selaqui,no,residential,yes,2
Selaqui,no,residential,yes,1
Selaqui,no,residential,yes,0
Selaqui,no,residential,no,1
Selaqui,no,residential,no,5
Selaqui,no,residential,no,4
Selaqui,no,residential,no,3
Selaqui,no,residential,no,2
Selaqui,no,residential,no,1
Selaqui,no,residential,no,0
Selaqui,no,commercial,yes,1
Selaqui,no,commercial,yes,5
Selaqui,no,commercial,yes,4
Selaqui,no,commercial,yes,3
Selaqui,no,commercial,yes,2
Selaqui,no,commercial,yes,1
Selaqui,no,commercial,yes,0
Selaqui,no,commercial,no,1
Selaqui,no,commercial,no,5
Selaqui,no,commercial,no,4
Selaqui,no,commercial,no,3
Selaqui,no,commercial,no,2
Selaqui,no,commercial,no,1
Selaqui,no,commercial,no,0
Thano,yes,residential,yes,1
Thano,yes,residential,yes,5
Thano,yes,residential,yes,4
Thano,yes,residential,yes,3
Thano,yes,residential,yes,2
Thano,yes,residential,yes,1
Thano,yes,residential,yes,0
Thano,yes,residential,no,1
Thano,yes,residential,no,5
Thano,yes,residential,no,4
Thano,yes,residential,no,3
Thano,yes,residential,no,2
Thano,yes,residential,no,1
Thano,yes,residential,no,0
Thano,yes,commercial,yes,1
Thano,yes,commercial,yes,5
Thano,yes,commercial,yes,4
Thano,yes,commercial,yes,3
Thano,yes,commercial,yes,2
Thano,yes,commercial,yes,1
Thano,yes,commercial,yes,0
Thano,yes,commercial,no,1
Thano,yes,commercial,no,5
Thano,yes,commercial,no,4
Thano,yes,commercial,no,3
Thano,yes,commercial,no,2
Thano,yes,commercial,no,1
Thano,yes,commercial,no,0
Thano,no,residential,yes,1
Thano,no,residential,yes,5
Thano,no,residential,yes,4
Thano,no,residential,yes,3
Thano,no,residential,yes,2
Thano,no,residential,yes,1
Thano,no,residential,yes,0
Thano,no,residential,no,1
Thano,no,residential,no,5
Thano,no,residential,no,4
Thano,no,residential,no,3
Thano,no,residential,no,2
Thano,no,residential,no,1
Thano,no,residential,no,0
Thano,no,commercial,yes,1
Thano,no,commercial,yes,5
Thano,no,commercial,yes,4
Thano,no,commercial,yes,3
Thano,no,commercial,yes,2
Thano,no,commercial,yes,1
Thano,no,commercial,yes,0
Thano,no,commercial,no,1
Thano,no,commercial,no,5
Thano,no,commercial,no,4
Thano,no,commercial,no,3
Thano,no,commercial,no,2
Thano,no,commercial,no,1
Thano,no,commercial,no,0
Vikasnagar,yes,residential,yes,1
Vikasnagar,yes,residential,yes,5
Vikasnagar,yes,residential,yes,4
Vikasnagar,yes,residential,yes,3
Vikasnagar,yes,residential,yes,2
Vikasnagar,yes,residential,yes,1
Vikasnagar,yes,residential,yes,0
Vikasnagar,yes,residential,no,1
Vikasnagar,yes,residential,no,5
Vikasnagar,yes,residential,no,4
Vikasnagar,yes,residential,no,3
Vikasnagar,yes,residential,no,2
Vikasnagar,yes,residential,no,1
Vikasnagar,yes,residential,no,0
Vikasnagar,yes,commercial,yes,1
Vikasnagar,yes,commercial,yes,5
Vikasnagar,yes,commercial,yes,4
Vikasnagar,yes,commercial,yes,3
Vikasnagar,yes,commercial,yes,2
Vikasnagar,yes,commercial,yes,1
Vikasnagar,yes,commercial,yes,0
Vikasnagar,yes,commercial,no,1
Vikasnagar,yes,commercial,no,5
Vikasnagar,yes,commercial,no,4
Vikasnagar,yes,commercial,no,3
Vikasnagar,yes,commercial,no,2
Vikasnagar,yes,commercial,no,1
Vikasnagar,yes,commercial,no,0
Vikasnagar,no,residential,yes,1
Vikasnagar,no,residential,yes,5
Vikasnagar,no,residential,yes,4
Vikasnagar,no,residential,yes,3
Vikasnagar,no,residential,yes,2
Vikasnagar,no,residential,yes,1
Vikasnagar,no,residential,yes,0
Vikasnagar,no,residential,no,1
Vikasnagar,no,residential,no,5
Vikasnagar,no,residential,no,4
Vikasnagar,no,residential,no,3
Vikasnagar,no,residential,no,2
Vikasnagar,no,residential,no,1
Vikasnagar,no,residential,no,0
Vikasnagar,no,commercial,yes,1
Vikasnagar,no,commercial,yes,5
Vikasnagar,no,commercial,yes,4
Vikasnagar,no,commercial,yes,3
Vikasnagar,no,commercial,yes,2
Vikasnagar,no,commercial,yes,1
Vikasnagar,no,commercial,yes,0
Vikasnagar,no,commercial,no,1
Vikasnagar,no,commercial,no,5
Vikasnagar,no,commercial,no,4
Vikasnagar,no,commercial,no,3
Vikasnagar,no,commercial,no,2
Vikasnagar,no,commercial,no,1
Vikasnagar,no,commercial,no,0
